Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744240056,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744240057,10,,Aggregated,0.000000,0.000000,7,8,29,32,210,210,230,230,230,230,230,46,0,7,33.67786567397833,4.38150899935863,233.72975600068457,0.0
1744240058,20,,Aggregated,0.000000,0.000000,7,8,33,170,250,370,370,370,370,370,370,123,0,7,62.325440796559,3.6394769995240495,374.3826540012378,0.0
1744240059,30,,Aggregated,37.000000,0.000000,8,25,76,200,250,370,370,370,380,380,380,222,0,8,71.9059885763731,3.6394769995240495,375.73837399759213,0.0
1744240060,40,,Aggregated,50.500000,0.000000,8,25,120,200,300,370,370,380,430,430,430,372,0,8,76.98098893007393,3.6394769995240495,429.2870049976045,0.0
1744240061,50,,Aggregated,50.500000,0.000000,9,62,200,250,350,370,410,430,440,440,440,470,0,9,99.28300926164431,3.6394769995240495,438.58816499778186,0.0
1744240062,60,,Aggregated,83.000000,0.000000,18,200,300,330,370,400,430,440,440,440,440,645,0,18,131.3996695456512,3.6394769995240495,438.9531340020767,0.0
1744240063,70,,Aggregated,94.000000,0.000000,110,290,320,340,370,410,430,440,440,440,440,803,0,110.0,162.53380859643642,3.6394769995240495,438.9531340020767,0.0
1744240064,80,,Aggregated,97.500000,0.000000,140,300,330,340,370,410,430,440,470,470,470,950,0,140.0,168.13456997256972,3.6394769995240495,465.0617789993703,0.0
1744240065,90,,Aggregated,105.142857,0.000000,150,300,340,350,390,420,440,450,590,630,630,1164,0,150.0,176.63575436078028,3.6394769995240495,627.4910110005294,0.0
1744240066,100,,Aggregated,118.125000,0.000000,190,310,340,360,390,420,440,450,590,630,630,1433,0,190.0,189.09533038936956,3.6394769995240495,627.4910110005294,0.0
1744240067,110,,Aggregated,127.888889,0.000000,210,320,350,370,400,430,450,510,590,630,630,1583,0,210.0,200.3200975571407,3.6394769995240495,627.4910110005294,0.0
1744240068,120,,Aggregated,131.700000,0.000000,220,330,370,380,430,470,500,520,640,690,690,1856,0,220.0,211.93170203932553,3.6394769995240495,694.9186579986417,0.0
1744240069,130,,Aggregated,154.100000,0.000000,210,320,360,380,420,460,510,520,640,720,720,2223,0,210.0,213.5597004610999,3.6394769995240495,724.0326179999101,0.0
1744240070,140,,Aggregated,174.300000,0.000000,190,300,350,370,410,460,500,520,690,760,760,2565,0,190.0,208.53099483706228,3.6394769995240495,759.8235580007895,0.0
1744240071,150,,Aggregated,191.200000,0.000000,190,270,330,360,410,450,500,520,690,760,760,2975,0,190.0,205.21327290119126,3.6394769995240495,759.8235580007895,0.0
1744240072,160,,Aggregated,215.300000,0.000000,190,270,330,350,410,450,500,530,720,860,860,3367,0,190.0,206.54154720404782,3.6394769995240495,859.9733500013826,0.0
1744240073,170,,Aggregated,239.000000,0.000000,200,270,320,350,410,450,510,540,860,930,930,3700,0,200.0,210.1322502324467,3.6394769995240495,929.1256020005676,0.0
1744240074,180,,Aggregated,264.400000,0.000000,210,280,340,370,430,470,530,600,890,1100,1100,4070,0,210.0,220.183651769305,3.6394769995240495,1084.2680260029738,0.0
1744240075,190,,Aggregated,288.000000,0.000000,210,290,340,360,430,500,550,670,930,1100,1100,4416,0,210.0,224.53995432995754,3.6394769995240495,1084.2680260029738,0.0
1744240076,200,,Aggregated,299.900000,0.000000,220,300,340,370,440,510,600,710,1200,1600,1600,4819,0,220.0,233.34498777092975,3.6394769995240495,1550.0618160003796,0.0
1744240077,200,,Aggregated,318.400000,0.000000,230,310,340,370,440,530,630,770,1100,1600,1600,5197,0,230.0,238.97458111181754,3.6394769995240495,1550.0618160003796,0.0
1744240078,200,,Aggregated,338.200000,0.000000,240,310,350,370,450,540,640,800,1100,1600,1600,5608,0,240.0,244.02754099627975,3.6394769995240495,1550.0618160003796,0.0
1744240079,200,,Aggregated,351.400000,0.000000,260,320,350,370,470,560,680,810,1200,1600,1600,5988,0,260.0,249.83810141118113,3.6394769995240495,1550.0618160003796,0.0
1744240080,200,,Aggregated,363.200000,0.000000,270,320,350,370,470,570,680,820,1200,1600,1600,6375,0,270.0,253.95588893399173,3.6394769995240495,1550.0618160003796,0.0
1744240081,200,,Aggregated,375.100000,0.000000,270,320,350,380,480,580,690,830,1200,1600,1600,6708,0,270.0,258.20508215238334,3.6394769995240495,1550.0618160003796,0.0
1744240082,200,,Aggregated,376.100000,0.000000,280,330,360,380,500,600,750,870,1300,1600,1600,7094,0,280.0,265.0476176078692,3.6394769995240495,1586.4939220009546,0.0
1744240083,200,,Aggregated,376.700000,0.000000,280,330,360,380,510,600,780,870,1300,1600,1600,7488,0,280.0,267.3826348707517,3.6394769995240495,1620.4279369994765,0.0
1744240084,200,,Aggregated,371.400000,0.000000,280,330,360,390,510,610,790,890,1500,1600,1600,7834,0,280.0,271.2890228859066,3.6394769995240495,1620.4279369994765,0.0
1744240085,200,,Aggregated,372.700000,0.000000,290,340,360,390,520,630,810,940,1500,1600,1600,8177,0,290.0,274.8977251813912,3.6394769995240495,1620.4279369994765,0.0
1744240086,200,,Aggregated,375.800000,0.000000,290,340,370,400,530,640,810,940,1500,2200,2200,8513,0,290.0,279.0668141931461,3.6394769995240495,2151.564176998363,0.0
1744240087,200,,Aggregated,374.000000,0.000000,290,340,370,410,530,650,820,980,1500,2200,2200,8859,0,290.0,284.2981117144486,3.6394769995240495,2151.564176998363,0.0
1744240088,200,,Aggregated,371.200000,0.000000,290,350,380,410,540,670,830,990,1500,2200,2200,9202,0,290.0,286.81103451165905,3.6394769995240495,2151.564176998363,0.0
1744240089,200,,Aggregated,364.200000,0.000000,300,350,390,420,550,680,860,1000,1600,2200,2200,9528,0,300.0,292.06156648942823,3.6394769995240495,2151.564176998363,0.0
1744240090,200,,Aggregated,360.000000,0.000000,300,350,390,420,550,690,880,1000,1600,2200,2200,9907,0,300.0,294.0424139862002,3.6394769995240495,2151.564176998363,0.0
1744240091,200,,Aggregated,354.600000,0.000000,300,350,390,420,570,690,880,1000,1600,1700,2200,10265,0,300.0,296.1461269530742,3.6394769995240495,2151.564176998363,0.0
1744240092,200,,Aggregated,352.200000,0.000000,300,350,380,420,570,690,890,1000,1600,1700,2200,10592,0,300.0,297.6454529061835,3.6394769995240495,2151.564176998363,0.0
1744240093,200,,Aggregated,350.200000,0.000000,310,360,390,430,580,710,930,1000,1600,2100,2200,10906,0,310.0,303.72603183379346,3.6394769995240495,2151.564176998363,0.0
1744240094,200,,Aggregated,355.100000,0.000000,310,360,390,430,590,710,940,1100,1600,2100,2200,11254,0,310.0,305.68313302705013,3.6394769995240495,2151.564176998363,0.0
1744240095,200,,Aggregated,340.600000,0.000000,310,360,400,430,600,730,950,1100,1600,2100,2200,11596,0,310.0,308.3522356832915,3.6394769995240495,2151.564176998363,0.0
1744240096,200,,Aggregated,340.900000,0.000000,310,360,400,440,600,730,960,1100,1600,2100,2200,11937,0,310.0,310.35983146706803,3.6394769995240495,2151.564176998363,0.0
1744240097,200,,Aggregated,337.500000,0.000000,320,360,400,440,610,730,960,1100,1600,2100,2200,12274,0,320.0,313.134990735816,3.6394769995240495,2151.564176998363,0.0
1744240098,200,,Aggregated,340.000000,0.000000,320,360,400,440,610,730,960,1100,1600,2100,2200,12657,0,320.0,313.5658363663133,3.6394769995240495,2151.564176998363,0.0
1744240099,200,,Aggregated,339.800000,0.000000,320,370,400,440,610,740,970,1100,1600,2100,2200,12943,0,320.0,314.9918382452596,3.6394769995240495,2151.564176998363,0.0
1744240100,200,,Aggregated,342.500000,0.000000,320,370,410,440,610,750,970,1100,1600,2100,2200,13309,0,320.0,318.3176915081067,3.6394769995240495,2151.564176998363,0.0
1744240101,200,,Aggregated,343.300000,0.000000,320,370,410,440,620,750,970,1100,1600,2100,2200,13674,0,320.0,319.4180456484108,3.6394769995240495,2151.564176998363,0.0
1744240102,200,,Aggregated,338.500000,0.000000,330,370,410,440,620,750,970,1100,1600,2100,2200,14025,0,330.0,320.55589478804535,3.6394769995240495,2151.564176998363,0.0
1744240103,200,,Aggregated,339.300000,0.000000,330,370,410,440,630,750,970,1100,1600,2100,2200,14377,0,330.0,321.70676376597095,3.6394769995240495,2151.564176998363,0.0
1744240104,200,,Aggregated,336.300000,0.000000,330,370,410,440,630,750,970,1100,1600,2100,2200,14720,0,330.0,322.0718756716958,3.6394769995240495,2151.564176998363,0.0
