Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744240841,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744240842,50,,Aggregated,0.000000,0.000000,11,98,400,410,430,440,440,450,460,460,460,154,0,11,136.87838579877373,3.4706029982771724,458.124773002055,0.0
1744240843,100,,Aggregated,0.000000,0.000000,100,360,430,430,460,470,480,480,480,480,480,299,0,100.0,204.54556088283618,3.4706029982771724,481.05705799753196,0.0
1744240844,150,,Aggregated,5.000000,0.000000,210,330,420,430,480,490,520,530,630,630,630,684,0,210.0,233.17245026307228,3.4706029982771724,627.2107810000307,0.0
1744240845,200,,Aggregated,77.000000,0.000000,230,310,350,420,470,490,520,600,780,790,790,1055,0,230.0,235.75179708053432,3.4706029982771724,786.941721002222,0.0
1744240846,250,,Aggregated,124.666667,0.000000,290,400,450,470,500,550,780,860,1200,1300,1300,1431,0,290.0,285.6030488413501,3.4706029982771724,1322.5379050018091,0.0
1744240847,300,,Aggregated,192.500000,0.000000,320,440,480,490,600,750,900,1100,1800,1800,1800,1819,0,320.0,326.06333472123464,3.4706029982771724,1817.1042319991102,0.0
1744240848,350,,Aggregated,220.400000,0.000000,370,480,510,560,720,900,1200,1300,2000,2200,2200,2161,0,370.0,377.7648623706434,3.4706029982771724,2232.160734998615,0.0
1744240849,400,,Aggregated,252.166667,0.000000,410,500,660,720,830,1200,1500,1700,2400,2700,2700,2544,0,410.0,435.76191140092914,3.4706029982771724,2696.8665509994025,0.0
1744240850,450,,Aggregated,266.714286,0.000000,440,600,760,810,890,1400,1600,2000,2800,2900,2900,2916,0,440.0,490.71898970573994,3.4706029982771724,2946.504420997371,0.0
1744240851,500,,Aggregated,276.875000,0.000000,460,700,820,860,1000,1500,1800,2000,2900,3600,3600,3306,0,460.0,529.1798891947642,3.4706029982771724,3647.917565998796,0.0
1744240852,550,,Aggregated,289.555556,0.000000,490,770,870,930,1200,1600,2000,2300,3500,3700,3700,3674,0,490.0,586.7351777961076,3.4706029982771724,3671.0217790023307,0.0
1744240853,600,,Aggregated,297.600000,0.000000,490,820,920,1000,1300,1700,2200,2700,3700,3900,3900,4056,0,490.0,628.8860233133382,3.4706029982771724,3923.3732469983806,0.0
1744240854,650,,Aggregated,338.300000,0.000000,540,870,1100,1200,1400,2000,2600,2900,4100,4800,4800,4416,0,530.0,704.2380667021921,3.4706029982771724,4781.377147002786,0.0
1744240855,700,,Aggregated,357.300000,0.000000,630,920,1200,1300,1600,2000,2600,3100,4500,5400,5400,4800,0,630.0,756.7275319985039,3.4706029982771724,5380.007849998947,0.0
1744240856,750,,Aggregated,374.600000,0.000000,700,990,1200,1400,1600,2200,2900,3400,4800,5400,5400,5149,0,700.0,811.0508045258985,3.4706029982771724,5380.007849998947,0.0
1744240857,800,,Aggregated,370.400000,0.000000,760,1100,1400,1500,1800,2300,3100,3500,4800,7100,7100,5461,0,760.0,869.2488098664825,3.4706029982771724,7073.303974997543,0.0
1744240858,850,,Aggregated,374.500000,0.000000,800,1200,1500,1600,2000,2600,3500,3700,5400,7100,7100,5815,0,800.0,944.0448561674798,3.4706029982771724,7073.303974997543,0.0
1744240859,900,,Aggregated,366.900000,0.000000,830,1200,1600,1700,2100,2600,3600,3900,5600,7100,7100,6163,0,830.0,1005.7252078740678,3.4706029982771724,7073.303974997543,0.0
1744240860,950,,Aggregated,360.800000,0.000000,860,1400,1600,1900,2200,2600,3700,4000,5800,7100,7100,6551,0,860.0,1054.1974032263563,3.4706029982771724,7073.303974997543,0.0
1744240861,1000,,Aggregated,364.800000,0.000000,880,1400,1800,2000,2300,2700,3800,4200,6000,7100,7100,6861,0,880.0,1105.299639518556,3.4706029982771724,7073.303974997543,0.0
1744240862,1000,,Aggregated,361.500000,0.000000,910,1500,1900,2100,2400,3000,4100,4500,6100,7700,7700,7261,0,910.0,1160.1378300213223,3.4706029982771724,7741.494538000552,0.0
1744240863,1000,,Aggregated,363.500000,0.000000,940,1600,2000,2200,2400,3100,4400,4600,6400,7700,7700,7669,0,940.0,1201.7691701099006,3.4706029982771724,7741.494538000552,0.0
1744240864,1000,,Aggregated,353.400000,0.000000,980,1600,2100,2200,2500,3400,4500,4800,6800,8700,8700,7990,0,980.0,1252.5479009729468,3.4706029982771724,8666.961307000747,0.0
1744240865,1000,,Aggregated,358.000000,0.000000,1100,1800,2100,2300,2500,3600,4700,4900,7000,11000,11000,8379,0,1100.0,1309.3541574839332,3.4706029982771724,10533.664332000626,0.0
1744240866,1000,,Aggregated,356.800000,0.000000,1100,1900,2200,2400,2500,3900,4800,5000,7100,11000,11000,8746,0,1100.0,1355.6876201108998,3.4706029982771724,10533.664332000626,0.0
