Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744238091,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744238092,25,,Aggregated,0.000000,0.000000,7,27,120,350,390,400,400,420,420,420,420,87,0,7,102.35560889654069,3.6833580015809275,418.6656790006964,0.0
1744238093,50,,Aggregated,0.000000,0.000000,110,350,400,410,450,480,480,480,490,490,490,162,0,81,192.1233497345563,3.6833580015809275,489.509781000379,0.0
1744238094,75,,Aggregated,5.000000,0.000000,290,360,370,380,420,450,480,480,490,490,490,358,0,260.0,217.51590891621387,3.6833580015809275,489.509781000379,0.0
1744238095,100,,Aggregated,46.000000,0.000000,320,370,380,400,440,450,480,480,510,510,510,493,0,320.0,244.7388923083976,3.6833580015809275,509.1444980025699,0.0
1744238096,125,,Aggregated,74.666667,0.000000,360,390,420,440,460,500,560,610,640,640,640,774,0,360.0,288.51442114859594,3.6833580015809275,639.5109149998461,0.0
1744238097,150,,Aggregated,89.500000,0.000000,230,370,390,410,450,480,550,570,640,640,640,1175,0,230.0,247.25850460936934,3.6833580015809275,639.5109149998461,0.0
1744238098,175,,Aggregated,103.200000,0.000000,260,340,380,390,450,500,570,610,850,920,920,1528,0,260.0,254.09689188022625,3.6833580015809275,916.9147790016723,0.0
1744238099,200,,Aggregated,135.500000,0.000000,270,330,380,390,450,520,580,670,920,940,940,1935,0,270.0,256.6148596594308,3.6833580015809275,943.2237350010837,0.0
1744238100,225,,Aggregated,171.857143,0.000000,280,350,380,400,470,550,690,780,1200,1200,1200,2317,0,280.0,269.11482274276517,3.6833580015809275,1239.4008960000065,0.0
1744238101,250,,Aggregated,195.500000,0.000000,290,370,420,440,510,640,850,970,1400,2300,2300,2677,0,290.0,294.99340166305836,3.6833580015809275,2338.117292998504,0.0
1744238102,275,,Aggregated,219.555556,0.000000,310,390,450,480,560,720,960,1100,1400,2300,2300,3016,0,310.0,320.87088219993797,3.6833580015809275,2338.117292998504,0.0
1744238103,300,,Aggregated,234.800000,0.000000,320,430,480,510,680,870,1200,1300,1900,2300,2300,3355,0,320.0,354.61064465307527,3.6833580015809275,2338.117292998504,0.0
1744238104,325,,Aggregated,270.700000,0.000000,340,450,510,580,690,920,1300,1400,2100,2400,2400,3733,0,340.0,375.50889763649997,3.6833580015809275,2407.6841049973154,0.0
1744238105,350,,Aggregated,295.700000,0.000000,360,480,570,630,710,1100,1300,1600,2100,2400,2400,4089,0,360.0,402.2560817512935,3.6833580015809275,2407.6841049973154,0.0
1744238106,375,,Aggregated,315.400000,0.000000,380,500,620,670,850,1200,1500,1800,2300,2700,2700,4455,0,380.0,434.04881049563255,3.6833580015809275,2674.4179540000914,0.0
1744238107,400,,Aggregated,341.000000,0.000000,380,550,670,710,870,1300,1600,1900,2700,3000,3000,4833,0,380.0,461.02474880510505,3.6833580015809275,2975.1141670021752,0.0
1744238108,425,,Aggregated,357.700000,0.000000,400,590,690,790,940,1400,1700,2000,3000,3700,3700,5173,0,400.0,490.57688596599473,3.6833580015809275,3743.2101519989374,0.0
1744238109,450,,Aggregated,367.200000,0.000000,430,630,780,830,1100,1500,1800,2100,3400,4100,4100,5552,0,420.0,522.9213316734747,3.6833580015809275,4146.68523599903,0.0
1744238110,475,,Aggregated,365.800000,0.000000,450,670,810,900,1100,1600,1900,2300,3600,4400,4400,5922,0,450.0,553.3765504689517,3.6833580015809275,4377.40780200329,0.0
1744238111,500,,Aggregated,363.600000,0.000000,460,690,850,940,1100,1600,2000,2300,3700,4700,4700,6263,0,460.0,578.6065250105532,3.6833580015809275,4662.396671999886,0.0
1744238112,500,,Aggregated,360.100000,0.000000,480,770,930,1000,1200,1800,2100,2400,4000,4700,4700,6671,0,480.0,612.320867062978,3.6833580015809275,4662.396671999886,0.0
1744238113,500,,Aggregated,357.600000,0.000000,500,800,950,1100,1200,1800,2200,2600,4100,5100,5100,7012,0,500.0,640.845762485043,3.6833580015809275,5053.969488999428,0.0
1744238114,500,,Aggregated,357.700000,0.000000,520,830,1000,1100,1300,1900,2300,2700,4200,5100,5100,7373,0,520.0,667.0747563617384,3.6833580015809275,5053.969488999428,0.0
1744238115,500,,Aggregated,363.200000,0.000000,550,870,1100,1100,1300,2000,2300,2900,4400,5100,5100,7738,0,550.0,689.8643423949461,3.6833580015809275,5053.969488999428,0.0
1744238116,500,,Aggregated,363.400000,0.000000,570,920,1100,1200,1300,2100,2300,3000,4400,5100,5100,8085,0,570.0,706.0348044738495,3.6833580015809275,5053.969488999428,0.0
1744238117,500,,Aggregated,361.500000,0.000000,590,940,1100,1200,1400,2200,2400,3200,4500,5700,5700,8459,0,590.0,727.3671194922601,3.6833580015809275,5708.280913000635,0.0
1744238118,500,,Aggregated,365.700000,0.000000,620,970,1100,1200,1500,2200,2400,3400,4500,5700,5700,8846,0,610.0,748.0513884345505,3.6833580015809275,5708.280913000635,0.0
1744238119,500,,Aggregated,360.000000,0.000000,630,1000,1200,1200,1500,2300,2400,3400,4600,5800,5800,9166,0,630.0,762.7941343758441,3.6833580015809275,5766.165174998605,0.0
1744238120,500,,Aggregated,360.100000,0.000000,650,1100,1200,1200,1600,2300,2600,3400,4600,5900,5900,9462,0,650.0,782.7889479460989,3.6833580015809275,5880.362204999983,0.0
1744238122,500,,Aggregated,364.900000,0.000000,670,1100,1200,1200,1600,2300,2700,3500,4900,5900,5900,9785,0,670.0,802.9667664240138,3.6833580015809275,5942.067509000481,0.0
1744238123,500,,Aggregated,353.800000,0.000000,690,1100,1200,1300,1700,2300,2900,3500,4900,6000,7100,10158,0,690.0,822.9461478591267,3.6833580015809275,7076.7244229973585,0.0
1744238124,500,,Aggregated,349.600000,0.000000,720,1100,1200,1300,1700,2300,3100,3600,5000,6000,7100,10497,0,720.0,837.5666048738732,3.6833580015809275,7076.7244229973585,0.0
1744238125,500,,Aggregated,349.600000,0.000000,780,1100,1200,1300,1800,2300,3100,3600,5000,7100,7300,10862,0,780.0,850.9241274339038,3.6833580015809275,7308.317584000179,0.0
1744238126,500,,Aggregated,348.200000,0.000000,790,1200,1200,1300,1800,2400,3100,3600,5000,7100,7300,11166,0,790.0,861.6774307273935,3.6833580015809275,7308.317584000179,0.0
1744238127,500,,Aggregated,347.900000,0.000000,800,1200,1200,1300,1800,2400,3100,3700,5100,7100,7300,11473,0,800.0,873.4377388822556,3.6833580015809275,7308.317584000179,0.0
1744238128,500,,Aggregated,340.800000,0.000000,830,1200,1300,1300,1900,2400,3300,3700,5800,7300,8700,11856,0,830.0,888.5511429234244,3.6833580015809275,8679.379096000048,0.0
1744238129,500,,Aggregated,337.800000,0.000000,850,1200,1300,1300,1900,2400,3400,3700,5800,7300,8700,12247,0,850.0,897.603073388185,3.6833580015809275,8679.379096000048,0.0
1744238130,500,,Aggregated,337.700000,0.000000,880,1200,1300,1300,2000,2400,3400,3700,5800,7300,8700,12543,0,880.0,902.1868507090096,3.6833580015809275,8679.379096000048,0.0
1744238131,500,,Aggregated,338.100000,0.000000,920,1200,1300,1300,2000,2400,3400,3700,5800,7300,8700,12859,0,920.0,914.2354213284151,3.6833580015809275,8679.379096000048,0.0
1744238132,500,,Aggregated,334.600000,0.000000,930,1200,1300,1300,2100,2400,3400,3700,5800,7300,8700,13220,0,930.0,924.2299696746676,3.6833580015809275,8679.379096000048,0.0
1744238133,500,,Aggregated,336.800000,0.000000,940,1200,1300,1300,2100,2500,3400,3700,5800,7300,8700,13605,0,940.0,933.84035708314,3.6833580015809275,8679.379096000048,0.0
1744238134,500,,Aggregated,341.300000,0.000000,950,1200,1300,1300,2200,2500,3400,3800,5800,7300,8700,13898,0,950.0,941.9672299775593,3.6833580015809275,8679.379096000048,0.0
1744238135,500,,Aggregated,340.400000,0.000000,980,1200,1300,1300,2200,2500,3400,3700,5800,7300,8700,14299,0,980.0,947.1924033021277,3.6833580015809275,8679.379096000048,0.0
1744238136,500,,Aggregated,337.100000,0.000000,1000,1200,1300,1300,2200,2500,3500,3800,5900,7300,8700,14655,0,1000.0,951.6970405506033,3.6833580015809275,8679.379096000048,0.0
1744238137,500,,Aggregated,340.400000,0.000000,1100,1200,1300,1300,2200,2500,3500,3800,5900,7300,8700,15001,0,1100.0,960.492881447176,3.6833580015809275,8679.379096000048,0.0
1744238138,500,,Aggregated,346.800000,0.000000,1100,1200,1300,1300,2200,2500,3500,3800,5900,7300,8700,15370,0,1100.0,965.4642278521156,3.6833580015809275,8679.379096000048,0.0
1744238139,500,,Aggregated,350.000000,0.000000,1100,1200,1300,1300,2300,2500,3500,3800,5900,7300,8700,15747,0,1100.0,969.2364319935242,3.6833580015809275,8679.379096000048,0.0
1744238140,500,,Aggregated,348.800000,0.000000,1100,1200,1300,1300,2300,2500,3500,3800,5900,7300,8700,16086,0,1100.0,976.8189456130185,3.6833580015809275,8679.379096000048,0.0
1744238141,500,,Aggregated,347.200000,0.000000,1100,1200,1300,1300,2300,2500,3500,3800,5900,7300,8700,16469,0,1100.0,979.5365422913981,3.6833580015809275,8679.379096000048,0.0
1744238142,500,,Aggregated,352.800000,0.000000,1100,1200,1300,1300,2300,2500,3500,3800,5900,7300,8700,16867,0,1100.0,983.1633278203047,3.6833580015809275,8679.379096000048,0.0
1744238143,500,,Aggregated,359.600000,0.000000,1100,1200,1300,1300,2300,2500,3500,3800,5900,7300,8700,17200,0,1100.0,986.471529270874,3.6833580015809275,8679.379096000048,0.0
1744238144,500,,Aggregated,362.000000,0.000000,1100,1200,1300,1300,2300,2500,3500,3800,5900,7300,8700,17552,0,1100.0,990.9489104058231,3.6833580015809275,8679.379096000048,0.0
1744238145,500,,Aggregated,359.400000,0.000000,1100,1200,1300,1300,2300,2500,3500,3800,5900,7300,8700,17945,0,1100.0,994.2842700430772,3.6833580015809275,8679.379096000048,0.0
1744238146,500,,Aggregated,363.800000,0.000000,1100,1200,1300,1300,2300,2500,3500,3800,5900,7300,8700,18244,0,1100.0,997.0783472509358,3.6833580015809275,8679.379096000048,0.0
1744238147,500,,Aggregated,363.300000,0.000000,1100,1200,1300,1300,2300,2500,3500,3800,5900,8700,8900,18615,0,1100.0,1004.2772234827877,3.6833580015809275,8920.743510003376,0.0
1744238148,500,,Aggregated,361.000000,0.000000,1100,1200,1300,1300,2300,2500,3500,3800,5900,8700,8900,19014,0,1100.0,1008.3567492585005,3.6833580015809275,8920.743510003376,0.0
