Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744236913,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744236914,10,,Aggregated,0.000000,0.000000,7,8,13,28,180,180,200,200,200,200,200,46,0,7,29.118695391369567,3.5391410001466284,200.31442099934793,0.0
1744236915,20,,Aggregated,0.000000,0.000000,7,13,31,79,180,240,380,380,380,380,380,125,0,7,52.17910004798614,3.5391410001466284,381.5764589999162,0.0
1744236916,30,,Aggregated,5.000000,0.000000,8,18,35,110,210,320,370,380,380,380,380,245,0,8,56.92543304897726,3.5391410001466284,381.5764589999162,0.0
1744236917,40,,Aggregated,25.500000,0.000000,8,20,72,170,300,330,410,420,430,430,430,380,0,8,71.90586493686504,3.5391410001466284,425.9265950004192,0.0
1744236918,50,,Aggregated,42.333333,0.000000,10,110,230,280,330,390,420,420,430,430,430,492,0,10,107.4140887499863,3.5391410001466284,427.8688909998891,0.0
1744236919,60,,Aggregated,62.500000,0.000000,17,200,270,300,340,390,420,430,480,480,480,631,0,17,125.6936449286793,3.5391410001466284,480.313562999072,0.0
1744236920,70,,Aggregated,76.000000,0.000000,47,250,290,310,370,390,420,430,480,480,480,841,0,47,144.45339643162836,3.5391410001466284,480.313562999072,0.0
1744236921,80,,Aggregated,85.000000,0.000000,110,270,310,330,380,400,420,430,480,480,480,956,0,110.0,157.279584774058,3.5391410001466284,480.313562999072,0.0
1744236922,90,,Aggregated,90.285714,0.000000,190,290,320,340,400,420,440,470,570,580,580,1207,0,190.0,177.73065248633839,3.5391410001466284,582.8456290000759,0.0
1744236923,100,,Aggregated,105.125000,0.000000,240,300,340,360,400,420,450,470,570,580,580,1374,0,240.0,195.10602291848969,3.5391410001466284,582.8456290000759,0.0
1744236924,110,,Aggregated,106.222222,0.000000,250,330,370,390,420,450,490,510,580,700,700,1594,0,250.0,212.36549175283326,3.5391410001466284,701.6944290007814,0.0
1744236925,120,,Aggregated,120.700000,0.000000,270,330,360,390,420,460,480,510,700,710,710,1834,0,270.0,220.52640118757088,3.5391410001466284,707.8196950005804,0.0
1744236927,130,,Aggregated,154.300000,0.000000,270,330,380,400,450,470,500,560,730,880,880,2108,0,270.0,233.85473719497494,3.5391410001466284,882.8358900009334,0.0
1744236928,140,,Aggregated,170.700000,0.000000,250,330,370,390,450,470,520,640,820,900,900,2429,0,250.0,233.22395357843203,3.5391410001466284,903.8656799984892,0.0
1744236929,150,,Aggregated,185.700000,0.000000,210,310,350,380,440,470,510,580,820,900,900,2840,0,210.0,223.2754458841462,3.5391410001466284,903.8656799984892,0.0
1744236930,160,,Aggregated,204.700000,0.000000,210,300,340,370,440,470,510,570,790,900,900,3198,0,210.0,220.5435143130019,3.5391410001466284,903.8656799984892,0.0
1744236931,170,,Aggregated,232.800000,0.000000,210,310,350,380,440,470,550,640,890,970,970,3574,0,210.0,228.12793735645613,3.5391410001466284,968.8496220005618,0.0
1744236932,180,,Aggregated,255.600000,0.000000,220,300,340,380,430,470,550,640,950,1200,1200,3983,0,220.0,227.8627669487757,3.5391410001466284,1249.7810650002066,0.0
1744236933,190,,Aggregated,272.600000,0.000000,230,310,350,380,440,480,590,680,970,1200,1200,4341,0,230.0,236.24474635382634,3.5391410001466284,1249.7810650002066,0.0
1744236934,200,,Aggregated,301.500000,0.000000,240,320,360,390,440,510,650,730,1200,1500,1500,4711,0,240.0,244.27488110463997,3.5391410001466284,1452.265576001082,0.0
1744236935,200,,Aggregated,311.900000,0.000000,240,320,360,390,460,550,670,820,1200,1500,1500,5081,0,240.0,249.59144824325173,3.5391410001466284,1452.265576001082,0.0
1744236936,200,,Aggregated,332.500000,0.000000,250,320,360,390,460,560,700,870,1200,1500,1500,5476,0,250.0,255.81386410572867,3.5391410001466284,1452.265576001082,0.0
