Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744238877,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744238878,5,,Aggregated,0.000000,0.000000,6,6,7,17,19,19,34,34,34,34,34,25,0,6,8.782366240338888,4.384055999253178,33.7412460030464,0.0
1744238879,10,,Aggregated,0.000000,0.000000,6,6,7,8,21,24,120,120,120,120,120,81,0,6,12.002353271748655,3.8370309994206764,122.00420400040457,0.0
1744238880,15,,Aggregated,5.000000,0.000000,6,6,7,8,16,23,34,120,120,120,120,151,0,6,9.59749425820573,3.8370309994206764,122.00420400040457,0.0
1744238881,20,,Aggregated,15.000000,0.000000,6,7,9,14,71,120,280,290,350,350,350,234,0,6,23.19543489313654,3.4736800007522106,349.36270100297406,0.0
1744238882,25,,Aggregated,30.000000,0.000000,6,7,8,10,25,97,130,280,350,350,350,357,0,6,18.576392576964466,3.4736800007522106,349.36270100297406,0.0
1744238883,30,,Aggregated,39.250000,0.000000,6,8,9,11,25,95,120,280,350,350,350,477,0,6,17.787388368943887,3.3388480005669408,349.36270100297406,0.0
1744238884,35,,Aggregated,47.800000,0.000000,6,8,10,12,71,170,280,340,410,410,410,633,0,6,26.50505188306863,3.3388480005669408,410.49332699913066,0.0
1744238885,40,,Aggregated,60.833333,0.000000,7,9,12,20,120,260,340,360,410,410,410,778,0,7,36.96356501666433,3.3388480005669408,410.49332699913066,0.0
1744238886,45,,Aggregated,68.142857,0.000000,7,10,17,26,220,290,360,380,420,420,420,905,0,7,47.00458677121707,3.3388480005669408,423.0035959990346,0.0
1744238887,50,,Aggregated,80.000000,0.000000,8,14,78,160,290,350,390,420,420,430,430,1027,0,8,71.94099985779053,3.3388480005669408,425.0536670006113,0.0
1744238888,55,,Aggregated,87.000000,0.000000,8,22,120,220,310,360,410,420,420,430,430,1120,0,8,83.49054011958808,3.3388480005669408,425.0536670006113,0.0
1744238889,60,,Aggregated,90.900000,0.000000,9,59,210,270,330,370,400,410,420,430,430,1315,0,9,97.74061791251488,3.3388480005669408,425.0536670006113,0.0
1744238890,65,,Aggregated,102.300000,0.000000,10,110,260,290,340,380,400,410,420,430,430,1450,0,10,109.87124938271931,3.3388480005669408,425.0536670006113,0.0
1744238891,70,,Aggregated,110.600000,0.000000,14,180,280,300,340,380,400,410,430,430,430,1606,0,14,119.65128460208577,3.3388480005669408,434.81340799917234,0.0
1744238892,75,,Aggregated,122.500000,0.000000,19,240,300,320,360,390,410,420,470,480,480,1817,0,19,133.91741696091418,3.3388480005669408,475.3945490010665,0.0
1744238893,80,,Aggregated,130.800000,0.000000,25,260,310,330,370,400,420,430,520,520,520,1923,0,25,143.63053106238976,3.3388480005669408,524.8932569993485,0.0
1744238894,85,,Aggregated,136.700000,0.000000,71,290,320,340,390,420,450,470,520,540,540,2126,0,71,160.76580407431237,3.3388480005669408,543.4148239983188,0.0
1744238895,90,,Aggregated,145.500000,0.000000,90,290,330,350,410,430,470,480,610,640,640,2271,0,90,169.54236264641264,3.3388480005669408,635.7972840014554,0.0
1744238896,95,,Aggregated,144.600000,0.000000,140,300,340,360,410,430,470,480,610,640,640,2510,0,140.0,178.72282710397465,3.3388480005669408,635.7972840014554,0.0
1744238898,100,,Aggregated,148.800000,0.000000,190,310,350,370,410,440,470,490,610,640,640,2673,0,190.0,188.24936205723418,3.3388480005669408,635.7972840014554,0.0
1744238899,100,,Aggregated,148.800000,0.000000,220,320,360,380,420,440,470,490,610,640,640,2895,0,220.0,196.63834986977645,3.3388480005669408,635.7972840014554,0.0
1744238900,100,,Aggregated,163.800000,0.000000,250,330,370,390,420,440,470,490,570,640,640,3085,0,250.0,204.10078113711603,3.3388480005669408,635.7972840014554,0.0
1744238901,100,,Aggregated,163.800000,0.000000,260,340,370,390,420,440,470,510,600,640,640,3283,0,260.0,209.46543658148337,3.3388480005669408,635.7972840014554,0.0
1744238902,100,,Aggregated,176.800000,0.000000,270,340,380,390,420,440,470,510,600,640,640,3536,0,270.0,213.7325032893182,3.3388480005669408,635.7972840014554,0.0
1744238903,100,,Aggregated,176.800000,0.000000,270,350,380,390,420,440,470,500,600,640,640,3681,0,270.0,215.7598236164267,3.3388480005669408,635.7972840014554,0.0
1744238904,100,,Aggregated,192.400000,0.000000,280,350,380,400,420,440,470,510,600,640,640,3926,0,280.0,222.16971420022745,3.3388480005669408,635.7972840014554,0.0
1744238905,100,,Aggregated,186.100000,0.000000,290,360,380,390,420,440,470,510,600,640,640,4098,0,290.0,227.18520557396263,3.3388480005669408,635.7972840014554,0.0
1744238906,100,,Aggregated,200.200000,0.000000,280,350,380,390,420,440,470,510,610,640,640,4382,0,280.0,225.7113387197819,3.3388480005669408,635.7972840014554,0.0
1744238907,100,,Aggregated,200.200000,0.000000,280,350,380,390,420,440,470,510,610,640,640,4522,0,280.0,227.07596166123508,3.3388480005669408,635.7972840014554,0.0
1744238908,100,,Aggregated,209.700000,0.000000,290,360,380,390,420,440,480,520,610,640,640,4772,0,290.0,232.25173909013282,3.3388480005669408,635.7972840014554,0.0
1744238909,100,,Aggregated,201.200000,0.000000,290,360,380,390,420,440,480,510,610,640,640,5007,0,290.0,231.7758003067938,3.3388480005669408,635.7972840014554,0.0
1744238910,100,,Aggregated,201.200000,0.000000,290,360,380,390,420,440,480,520,610,640,640,5174,0,290.0,231.992487198313,3.3388480005669408,635.7972840014554,0.0
1744238911,100,,Aggregated,209.900000,0.000000,300,370,390,400,420,450,480,530,610,640,640,5417,0,300.0,236.90475074932158,3.3388480005669408,635.7972840014554,0.0
1744238912,100,,Aggregated,209.100000,0.000000,300,370,390,400,420,450,480,520,610,640,640,5569,0,300.0,237.41617808494854,3.3388480005669408,635.7972840014554,0.0
1744238913,100,,Aggregated,209.300000,0.000000,310,370,390,400,420,450,480,520,610,640,640,5778,0,310.0,241.2824861566468,3.3388480005669408,635.7972840014554,0.0
1744238914,100,,Aggregated,203.800000,0.000000,300,370,390,400,430,450,490,530,610,650,650,6027,0,300.0,242.04543315813646,3.3388480005669408,653.9947849996679,0.0
1744238915,100,,Aggregated,203.800000,0.000000,310,370,390,400,430,450,490,530,610,650,650,6171,0,310.0,242.24067699288506,3.3388480005669408,653.9947849996679,0.0
1744238916,100,,Aggregated,206.600000,0.000000,310,370,390,400,430,450,490,530,610,650,650,6415,0,310.0,244.85406098130645,3.3388480005669408,653.9947849996679,0.0
1744238917,100,,Aggregated,209.700000,0.000000,310,370,390,400,430,450,490,530,610,650,650,6570,0,310.0,245.58480592482704,3.3388480005669408,653.9947849996679,0.0
1744238918,100,,Aggregated,204.300000,0.000000,320,370,390,400,430,450,490,530,610,650,650,6845,0,320.0,247.65820419066728,3.3388480005669408,653.9947849996679,0.0
1744238919,100,,Aggregated,203.000000,0.000000,310,370,390,400,430,450,490,530,610,650,650,7018,0,310.0,246.63836233573156,3.3388480005669408,653.9947849996679,0.0
1744238920,100,,Aggregated,203.600000,0.000000,310,370,390,400,430,450,490,540,650,800,800,7243,0,310.0,248.13359487520603,3.3388480005669408,802.9342379995796,0.0
1744238921,100,,Aggregated,201.900000,0.000000,320,370,390,400,430,450,490,530,650,800,800,7481,0,320.0,250.03939187142444,3.3388480005669408,802.9342379995796,0.0
1744238922,100,,Aggregated,206.400000,0.000000,320,370,390,400,430,450,490,530,650,800,800,7662,0,320.0,250.442750758171,3.3388480005669408,802.9342379995796,0.0
