Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744242974,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744242975,50,,Aggregated,0.000000,0.000000,260,260,260,260,260,260,260,260,260,260,260,5,0,258.3798759987985,254.2293599995901,248.3534659986617,258.3798759987985,0.0
1744242976,100,,Aggregated,0.000000,0.000000,1800,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,37,0,1800.0,1555.4843761347984,173.2560749987897,1934.102710998559,0.0
1744242977,150,,Aggregated,5.000000,0.000000,1800,1900,1900,1900,2100,2100,2100,2200,2200,2200,2200,89,0,1800.0,1687.132818774924,173.2560749987897,2214.025113997195,0.0
1744242978,200,,Aggregated,5.000000,0.000000,1800,1900,1900,1900,2100,2100,2200,2400,3400,3400,3400,166,0,1800.0,1665.4291754818903,173.2560749987897,3419.745776001946,0.0
1744242979,250,,Aggregated,24.666667,0.000000,1900,1900,2000,2000,2100,2200,2400,2400,3400,3400,3400,250,0,1900.0,1733.5079600679303,127.60931799857644,3419.745776001946,0.0
1744242980,300,,Aggregated,35.750000,0.000000,1900,2000,2100,2200,2400,2400,3400,3700,3700,3700,3700,328,0,1900.0,1820.7677922560579,116.28577199735446,3748.940424997272,0.0
1744242981,350,,Aggregated,44.200000,0.000000,2000,2200,2300,2400,2600,2800,3700,4100,4300,4300,4300,411,0,2000.0,1945.6323065182282,116.28577199735446,4336.80015599748,0.0
1744242982,400,,Aggregated,49.666667,0.000000,2000,2300,2400,2600,3100,3200,3700,4100,5000,5000,5000,463,0,2000.0,2059.6881001403963,116.28577199735446,4994.554445001995,0.0
1744242983,450,,Aggregated,54.571429,0.000000,2100,2400,2700,3000,3300,3600,3800,4200,5100,5100,5100,521,0,2100.0,2185.137993364656,116.28577199735446,5134.587038999598,0.0
1744242984,500,,Aggregated,53.875000,0.000000,2200,2700,3200,3300,4000,4200,4900,6000,6300,6300,6300,603,0,2200.0,2388.777299464315,116.28577199735446,6342.075352997199,0.0
