Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744245067,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744245068,50,,Aggregated,0.000000,0.000000,710,820,820,820,820,820,820,820,820,820,820,5,0,710.0,655.7225732001825,220.2471839991631,821.9196720019681,0.0
1744245069,100,,Aggregated,0.000000,0.000000,1800,1800,1800,1800,1900,1900,1900,1900,1900,1900,1900,49,0,1800.0,1648.659411469434,220.2471839991631,1907.559618997766,0.0
1744245070,150,,Aggregated,1.000000,0.000000,1500,1700,1800,1800,1800,1900,1900,2000,2000,2000,2000,117,0,1500.0,1435.0963276923194,198.26322899825755,2020.6009600005927,0.0
1744245071,200,,Aggregated,2.500000,0.000000,1500,1600,1700,1700,1800,1900,1900,2000,2000,2000,2000,193,0,1500.0,1400.9726162382885,198.26322899825755,2020.6009600005927,0.0
1744245072,250,,Aggregated,24.000000,0.000000,1600,1800,1900,1900,2000,2000,2200,2200,2300,2300,2300,255,0,1600.0,1497.7063651489555,143.30952900127159,2269.496430999425,0.0
1744245073,300,,Aggregated,34.000000,0.000000,1700,2000,2100,2200,2500,2700,2800,2800,3300,3300,3300,332,0,1700.0,1711.8001105421508,106.97233399696415,3319.1889170011564,0.0
1744245074,350,,Aggregated,41.200000,0.000000,1900,2200,2500,2600,2700,2800,3300,4200,4400,4400,4400,417,0,1900.0,1855.2889552421748,106.97233399696415,4351.435037999181,0.0
1744245075,400,,Aggregated,44.666667,0.000000,2000,2400,2700,2700,3200,3600,4200,4300,5300,5300,5300,472,0,2000.0,2010.6305062987212,106.97233399696415,5316.964521000045,0.0
1744245076,450,,Aggregated,50.714286,0.000000,2200,2700,2900,3300,3600,3800,3900,4200,5300,5300,5300,557,0,2200.0,2213.7410891795134,106.97233399696415,5316.964521000045,0.0
1744245077,500,,Aggregated,54.125000,0.000000,2300,2700,3300,3500,3800,3900,4200,4400,6100,6100,6100,614,0,2300.0,2339.6842384609026,106.97233399696415,6096.413900999323,0.0
1744245078,550,,Aggregated,53.666667,0.000000,2500,3300,3700,3800,4200,4600,4700,5200,7000,7000,7000,702,0,2500.0,2571.428505585472,106.97233399696415,6950.055306999275,0.0
1744245079,600,,Aggregated,57.200000,0.000000,2600,3400,3800,3900,4600,4700,6100,7100,7900,7900,7900,741,0,2600.0,2683.866970248304,106.97233399696415,7885.981677998643,0.0
1744245080,650,,Aggregated,63.800000,0.000000,2700,3600,3900,4100,4700,5600,6100,7100,8300,8300,8300,797,0,2700.0,2833.792361366364,106.97233399696415,8278.204401001858,0.0
1744245081,700,,Aggregated,71.700000,0.000000,2800,3800,4400,4600,5700,6100,6300,7200,9100,9100,9100,887,0,2800.0,3094.0754614137413,106.97233399696415,9084.709864997421,0.0
1744245082,750,,Aggregated,67.300000,0.000000,3200,4000,4700,5600,6200,6300,7000,7900,9800,9800,9800,973,0,3200.0,3334.682398400803,106.97233399696415,9781.573184998706,0.0
