Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744243497,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744243498,50,,Aggregated,0.000000,0.000000,250,250,250,570,570,570,570,570,570,570,570,5,0,250.0,309.62200759968255,243.65857599696028,565.736504002416,0.0
1744243499,100,,Aggregated,0.000000,0.000000,1700,1800,1800,1800,1800,1900,1900,1900,1900,1900,1900,58,0,1700.0,1557.0754069140094,243.65857599696028,1928.8483700001962,0.0
1744243500,150,,Aggregated,4.000000,0.000000,1400,1600,1700,1700,1800,1800,1900,1900,1900,1900,1900,137,0,1400.0,1296.1229231168413,199.60456899934798,1928.8483700001962,0.0
1744243501,200,,Aggregated,2.500000,0.000000,1500,1700,1700,1800,1800,1900,1900,2900,2900,2900,2900,211,0,1500.0,1407.1209251184807,199.60456899934798,2934.9628880008822,0.0
1744243502,250,,Aggregated,25.000000,0.000000,1700,1800,1800,1800,1800,1900,2500,2900,2900,2900,2900,291,0,1700.0,1493.60386954294,196.81237999975565,2934.9628880008822,0.0
1744243503,300,,Aggregated,37.000000,0.000000,1700,1800,1900,2100,2200,2500,2600,2900,4900,4900,4900,375,0,1700.0,1645.2777970453492,190.63010299942107,4928.787688000739,0.0
1744243504,350,,Aggregated,45.400000,0.000000,1800,2100,2200,2300,2600,2700,2900,2900,4900,4900,4900,462,0,1800.0,1766.510622870112,150.8217499977036,4928.787688000739,0.0
1744243505,400,,Aggregated,51.166667,0.000000,1800,2100,2400,2500,2900,3100,3100,3200,4900,4900,4900,521,0,1800.0,1859.3383786794548,137.72988400160102,4928.787688000739,0.0
1744243506,450,,Aggregated,56.714286,0.000000,1800,2400,2700,2900,3300,3600,3700,4800,5900,5900,5900,612,0,1800.0,2038.1681854297165,137.72988400160102,5946.917727000255,0.0
1744243507,500,,Aggregated,58.500000,0.000000,2100,2600,3000,3200,3600,3700,4000,5400,5900,5900,5900,680,0,2100.0,2173.234633366171,137.72988400160102,5946.917727000255,0.0
1744243508,550,,Aggregated,59.888889,0.000000,2200,2900,3400,3600,4200,4400,5000,5900,8300,8300,8300,770,0,2200.0,2374.418368998706,137.72988400160102,8256.744129001163,0.0
1744243509,600,,Aggregated,62.700000,0.000000,2200,3100,3600,3700,4300,4900,5700,6800,8900,8900,8900,810,0,2200.0,2503.5913688481573,137.72988400160102,8905.750834001083,0.0
1744243510,650,,Aggregated,69.700000,0.000000,2500,3500,3700,4300,5000,5500,6600,7400,8900,8900,8900,900,0,2500.0,2734.275221514444,137.72988400160102,8905.750834001083,0.0
1744243511,700,,Aggregated,77.300000,0.000000,2600,3700,4300,4900,5500,5700,6900,8300,9000,9000,9000,990,0,2600.0,2989.378643998991,137.72988400160102,9029.289019999851,0.0
1744243512,750,,Aggregated,74.300000,0.000000,2900,4000,4900,5400,5700,5900,8000,8800,9100,11000,11000,1075,0,2900.0,3200.318436803718,118.99796900252113,10938.67462200069,0.0
1744243513,800,,Aggregated,76.100000,0.000000,3000,4300,5000,5500,5700,6800,8000,8800,10000,11000,11000,1113,0,3000.0,3315.008098051212,118.99796900252113,10938.67462200069,0.0
1744243514,850,,Aggregated,77.800000,0.000000,3300,4800,5500,5700,6800,6900,8800,10000,11000,11000,11000,1201,0,3300.0,3585.109143773517,118.99796900252113,10938.67462200069,0.0
1744243515,900,,Aggregated,77.600000,0.000000,3500,5000,5600,5800,6900,7200,9000,11000,11000,11000,11000,1290,0,3500.0,3741.685518454247,118.99796900252113,11414.980526998988,0.0
1744243516,950,,Aggregated,74.300000,0.000000,3600,5500,5700,6700,7200,7700,8900,10000,11000,11000,11000,1373,0,3600.0,3929.6548662869327,111.13034599839011,11414.980526998988,0.0
1744243517,1000,,Aggregated,74.800000,0.000000,3700,5500,5800,6800,7200,7700,9000,11000,12000,12000,12000,1394,0,3600.0,3954.07559085506,111.13034599839011,12153.030196997861,0.0
1744243518,1000,,Aggregated,76.600000,0.000000,3700,5600,6200,6900,7700,8600,9000,11000,14000,14000,14000,1467,0,3700.0,4139.070993239223,111.13034599839011,13875.363567000022,0.0
1744243519,1000,,Aggregated,76.000000,0.000000,4300,5700,6900,7100,8500,8800,10000,11000,14000,14000,14000,1554,0,4200.0,4386.721265682718,111.13034599839011,14056.09997799911,0.0
1744243520,1000,,Aggregated,70.300000,0.000000,4400,6000,7100,7600,8800,9200,10000,11000,14000,14000,14000,1659,0,4400.0,4683.730666940901,111.13034599839011,14452.019914999255,0.0
1744243521,1000,,Aggregated,71.300000,0.000000,4900,6800,7500,8500,9100,9400,10000,12000,15000,15000,15000,1758,0,4900.0,4917.699204890188,111.13034599839011,15013.190524998208,0.0
1744243522,1000,,Aggregated,77.100000,0.000000,5200,7000,8100,8700,9300,9600,10000,13000,15000,16000,16000,1855,0,5200.0,5118.7633786867655,111.13034599839011,15564.546325000265,0.0
